ExportNames,RNames
Border_ind,Border_ind
Bright_vis,Bright_vis
Building,Building
CoefVar_nD,CoefVar_nDSM
Compactnes,Compactnes
Density,Density
EllipticFi,EllipticFi
GLCM_Contr,GLCMCon_NIR
GLCMCon_nD,GLCMCon_nDSM
GLCMHom_nD,GLCMHom_nDSM
GLCMHomNIR,GLCMHomNIR
Imag_Brigh,Imag_Brightness
Len_divWid,Len_div_Width
MaxHtMinHt,MaxHtMinHt
Mean_Blue,Mean_Blue
Mean_Green,Mean_Green
Mean_nDSM,Mean_nDSM
Mean_NIR,Mean_NIR
Mean_Red,Mean_Red
Mean_Red_E,Mean_RE
Mean_slope,Mean_slope
Mean_zDev,Mean_zDev
NDRE,NDRE
NDVI,NDVI
NDVIRE,NDVIRE
NIR_div_RE,NIR_div_RE
RectangFit,RectangFit
RelBord_bl,RelBord_bldg
RelBord_tr,RelBord_trees
RelBord_un,RelBord_unclass
Roundness,Roundness
SAVI,SAVI
sd_blue,sd_blue
sd_green,sd_green
sd_ndsm,sd_ndsm
sd_NIR,sd_NIR
sd_RE,sd_RE
sd_red,sd_red
sd_slope,sd_slope
sd_zdev,sd_zdev
Trees,Trees
